procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    245    0    0     0     3 3033 2420  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     9 3049 2443  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     4 3087 2496  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3670 2814  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3308 2759  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3506 2919  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3540 3111  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3988 3181  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4263 3059  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3506 2640  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     15  62309    213    245    0    0     0     1 3048 2440  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3037 2420  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3034 2416  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     4 3053 2442  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3057 2423  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     3 3033 2420  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3077 2504  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3675 2987  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4090 3005  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     0 4159 3007  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3040 2416  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     2 3040 2422  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3051 2437  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3036 2422  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     0 3684 2798  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4091 2734  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     0 3850 2953  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3785 2875  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4040 3071  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     4 3193 2637  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     0 3841 3031  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    245    0    0     0     0 3676 2983  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3158 2622  6  0 94  0  0	
