procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     11  62741    246    664    0    0     0     0 3057 2475  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3045 2463  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3065 2490  3  0 97  0  0	
 2  0     11  62741    246    664    0    0     0     0 3060 2477  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3036 2415  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3027 2420  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3011 2405  3  0 97  0  0	
 2  0     11  62741    246    664    0    0     0     0 3021 2416  3  0 97  0  0	
 2  0     11  62741    246    664    0    0     0     0 3018 2410  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3030 2442  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     11  62741    246    664    0    0     0     0 3021 2412  3  0 97  0  0	
 2  0     11  62741    246    664    0    0     0     6 3059 2464  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3018 2412  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3022 2407  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3016 2409  3  0 97  0  0	
 1  0     11  62741    246    664    0    0     0     0 3032 2444  3  0 97  0  0	
