procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  62998    209    269    0    0     0     1    0    0 38  2 60  0  0	
 4  0      0  62565    209    269    0    0     0     0 4414 3110  6  0 94  0  0	
 3  0      0  62565    209    269    0    0     0     0 4129 2760  6  0 94  0  0	
 2  0      0  62565    209    269    0    0     0     0 4039 2588  6  0 94  0  0	
 2  0      0  62566    209    269    0    0     0     0 3587 2782  6  0 94  0  0	
 2  0      0  62566    209    269    0    0     0    44 3418 3153  6  0 94  0  0	
 3  0      0  62566    209    269    0    0     0    20 3160 2646  6  0 94  0  0	
 1  0      0  62999    209    269    0    0     0     0 2309 2274  4  0 96  0  0	
 3  0      0  62999    209    269    0    0     0     0 2092 2277  3  0 97  0  0	
 1  0      0  62999    209    269    0    0     0     0 2042 2219  3  0 97  0  0	
 3  0      0  63000    209    269    0    0     0     0 2099 2257  3  0 97  0  0	
 2  0      0  63000    209    269    0    0     0     0 2039 2207  3  0 97  0  0	
 1  0      0  63000    209    269    0    0     0    12 2101 2323  3  0 97  0  0	
 2  0      0  63001    209    269    0    0     0     0 2045 2227  3  0 97  0  0	
 1  0      0  63001    209    269    0    0     0     0 2119 2293  3  0 97  0  0	
 1  0      0  63001    209    269    0    0     0     0 2049 2204  3  0 97  0  0	
 1  0      0  63001    209    269    0    0     0     0 2081 2265  3  0 97  0  0	
 2  0      0  63001    209    269    0    0     0     0 2039 2210  3  0 97  0  0	
 1  0      0  63001    209    269    0    0     0    56 2060 2242  3  0 97  0  0	
 2  0      0  63002    209    269    0    0     0     0 2037 2211  3  0 97  0  0	
 2  0      0  63002    209    269    0    0     0     0 2100 2263  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  63002    209    269    0    0     0     0 2101 2236  3  0 97  0  0	
 1  0      0  63002    209    269    0    0     0     0 2068 2251  3  0 97  0  0	
 1  0      0  63002    209    269    0    0     0     0 2344 2423  3  0 97  0  0	
 1  0      0  63003    209    269    0    0     0     0 3407 3115  3  0 97  0  0	
 1  0      0  63003    209    269    0    0     0     0 3249 2822  3  0 97  0  0	
 1  0      0  63003    209    269    0    0     0     0 3207 2726  3  0 97  0  0	
 1  0      0  63003    209    269    0    0     0     0 3408 3146  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0     0 3266 2837  3  0 97  0  0	
 2  0      0  63004    209    269    0    0     0     0 3363 3050  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0     0 3210 2709  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0     0 3026 2386  3  0 97  0  0	
 3  0      0  63004    209    269    0    0     0     0 3253 2787  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0    24 3267 2849  3  0 97  0  0	
 3  0      0  63004    209    269    0    0     0     0 3369 3034  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0     0 3397 3112  3  0 97  0  0	
 3  0      0  63004    209    269    0    0     0     0 3383 3070  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0     0 3162 2675  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0    36 3230 2760  3  0 97  0  0	
 1  0      0  63004    209    269    0    0     0    24 3044 2421  3  0 97  0  0	
