procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     11  62735    246    664    0    0     0     2    0    0 33  3 64  0  0	
 1  0     11  62734    246    664    0    0     0     0 3103 2470  3  0 97  0  0	
 3  0     11  62734    246    664    0    0     0    30 3075 2486  3  0 96  0  0	
 1  0     11  62735    246    664    0    0     0    24 3183 2698  3  0 97  0  0	
 1  0     11  62736    246    664    0    0     0     0 3137 2611  3  0 97  0  0	
 1  0     11  62737    246    664    0    0     0     0 3120 2590  3  0 97  0  0	
 1  0     11  62737    246    664    0    0     0     0 3059 2465  3  0 97  0  0	
 1  0     11  62737    246    664    0    0     0     0 3092 2539  3  0 97  0  0	
 1  0     11  62738    246    664    0    0     0     0 3296 2932  3  0 97  0  0	
 1  0     11  62738    246    664    0    0     0     0 3163 2668  3  0 97  0  0	
 1  0     11  62739    246    664    0    0     0     0 3208 2754  3  0 97  0  0	
 1  0     11  62739    246    664    0    0     0     0 3156 2653  3  0 97  0  0	
 1  0     11  62739    246    664    0    0     0     0 3252 2847  3  0 97  0  0	
 1  0     11  62739    246    664    0    0     0     0 3234 2811  3  0 97  0  0	
 1  0     11  62739    246    664    0    0     0     0 3302 2951  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3177 2717  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3142 2622  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0    28 3212 2760  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3089 2518  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3295 2937  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0    36 3093 2509  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     11  62740    246    664    0    0     0     0 3388 3107  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3218 2797  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3147 2631  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3274 2903  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3147 2621  3  0 97  0  0	
 2  0     11  62740    246    664    0    0     0     0 3309 2969  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3121 2593  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3135 2619  3  0 97  0  0	
 2  0     11  62740    246    664    0    0     0     0 3091 2501  3  0 97  0  0	
 1  0     11  62740    246    664    0    0     0     0 3129 2609  3  0 97  0  0	
