procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0  62786    209    601    0    0     0     1    0    0 38  2 60  0  0	
48  0      0  62743    209    601    0    0     0     0 32835 8733 98  0  2  0  0	
49  0      0  62743    209    601    0    0     0     0 33016 8423 100  0  0  0  0	
47  0      0  62743    209    601    0    0     0     0 32884 8458 99  0  1  0  0	
36  0      0  62745    209    601    0    0     0     0 32312 9038 97  0  3  0  0	
16  0      0  62777    209    601    0    0     0    16 26809 7873 78  0 22  0  0	
 7  0      0  62778    209    601    0    0     0    48 14435 4758 39  0 61  0  0	
 1  0      0  62795    209    601    0    0     0     0 3890 2697  5  0 95  0  0	
 0  0      0  62795    209    601    0    0     0     0 2016 2158  0  0 100  0  0	
 0  0      0  62796    209    601    0    0     0     0 2058 2195  0  0 100  0  0	
 0  0      0  62796    209    601    0    0     0     0 2052 2178  0  0 100  0  0	
 0  0      0  62796    209    601    0    0     0    16 2017 2192  0  0 100  0  0	
 0  0      0  62797    209    601    0    0     0     0 2042 2163  0  0 100  0  0	
 2  0      0  62797    209    601    0    0     0     0 2029 2178  0  0 100  0  0	
 0  0      0  62798    209    601    0    0     0     0 1988 2145  0  0 100  0  0	
 0  0      0  62798    209    601    0    0     0     0 2066 2281  0  0 100  0  0	
 0  0      0  62799    209    601    0    0     0     0 2007 2182  0  0 100  0  0	
 0  0      0  62799    209    601    0    0     0     0 2046 2206  0  0 100  0  0	
 0  0      0  62799    209    601    0    0     0     0 2022 2162  0  0 100  0  0	
 0  0      0  62800    209    601    0    0     0     0 2027 2192  0  0 100  0  0	
 1  0      0  62800    209    601    0    0     0     0 2035 2189  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  62800    209    601    0    0     0     0 2115 2263  0  0 100  0  0	
 2  0      0  62800    209    601    0    0     0     0 2031 2189  0  0 100  0  0	
 0  0      0  62800    209    601    0    0     0     0 2043 2203  0  0 100  0  0	
 0  0      0  62801    209    601    0    0     0     0 2041 2186  0  0 100  0  0	
 0  0      0  62801    209    601    0    0     0     0 2023 2201  0  0 100  0  0	
 2  0      0  62801    209    601    0    0     0    12 2014 2181  0  0 100  0  0	
 0  0      0  62802    209    601    0    0     0     0 2066 2264  0  0 100  0  0	
 0  0      0  62802    209    601    0    0     0     0 2001 2161  0  0 100  0  0	
 0  0      0  62802    209    601    0    0     0     0 2079 2221  0  0 100  0  0	
