procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0  62785    209    641    0    0     0     1    0    0 38  2 60  0  0	
19  0      0  62354    209    641    0    0     0     0 16377 7127 43  1 56  0  0	
 5  0      0  62778    209    641    0    0     0    60 5959 3515 12  0 88  0  0	
 1  0      0  62780    209    641    0    0     0     0 2048 2196  0  0 100  0  0	
 0  0      0  62780    209    641    0    0     0     0 2023 2164  0  0 100  0  0	
 2  0      0  62780    209    641    0    0     0     0 2041 2175  0  0 100  0  0	
 0  0      0  62781    209    641    0    0     0    44 2018 2176  0  0 100  0  0	
 2  0      0  62781    209    641    0    0     0     0 2057 2206  0  0 100  0  0	
 1  0      0  62781    209    641    0    0     0    12 1956 2144  0  0 100  0  0	
 0  0      0  62782    209    641    0    0     0     0 2072 2272  0  0 100  0  0	
 0  0      0  62783    209    641    0    0     0     0 2041 2199  0  0 100  0  0	
 0  0      0  62783    209    641    0    0     0     0 2065 2227  0  0 100  0  0	
 1  0      0  62784    209    641    0    0     0     0 2086 2227  0  0 100  0  0	
 0  0      0  62784    209    641    0    0     0     0 2018 2175  0  0 100  0  0	
 1  0      0  62784    209    641    0    0     0     0 2009 2157  0  0 100  0  0	
 0  0      0  62785    209    641    0    0     0    96 2062 2207  0  0 100  0  0	
 0  0      0  62785    209    641    0    0     0     0 2013 2159  0  0 100  0  0	
 2  0      0  62786    209    641    0    0     0     0 2035 2199  0  0 100  0  0	
 0  0      0  62786    209    641    0    0     0     0 2026 2172  0  0 100  0  0	
 0  0      0  62787    209    641    0    0     0     0 2024 2206  0  0 100  0  0	
 1  0      0  62789    209    641    0    0     0     0 1963 2158  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  62790    209    641    0    0     0     0 2071 2279  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2005 2182  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 1949 2164  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2018 2184  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2029 2200  0  0 100  0  0	
 1  0      0  62791    209    641    0    0     0     0 2008 2167  0  0 100  0  0	
 0  0      0  62791    209    641    0    0     0     0 2031 2196  0  0 100  0  0	
 0  0      0  62791    209    641    0    0     0     0 2021 2182  0  0 100  0  0	
 2  0      0  62791    209    641    0    0     0     0 2034 2202  0  0 100  0  0	
