procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
36  0      0  63100    209    271    0    0     0     1    0    0 38  2 60  0  0	
35  0      0  62297    209    271    0    0     0     0 30031 17681 86  2 12  0  0	
34  0      0  62298    209    271    0    0     0     4 30927 13903 93  0  7  0  0	
26  0      0  62724    209    271    0    0     0     0 32585 9801 98  0  2  0  0	
 0  0      0  63116    209    271    0    0     0    56 4466 2794  7  0 93  0  0	
 1  0      0  63117    209    271    0    0     0    52 2028 2215  0  0 100  0  0	
 0  0      0  63117    209    271    0    0     0     0 2073 2177  0  0 100  0  0	
 0  0      0  63117    209    271    0    0     0     0 2036 2211  0  0 100  0  0	
 0  0      0  63118    209    271    0    0     0     0 2017 2156  0  0 100  0  0	
 1  0      0  63118    209    271    0    0     0     0 2063 2199  0  0 100  0  0	
 0  0      0  63119    209    271    0    0     0     0 2050 2175  0  0 100  0  0	
 0  0      0  63119    209    271    0    0     0     0 2078 2270  0  0 100  0  0	
 0  0      0  63120    209    271    0    0     0    60 2011 2174  0  0 100  0  0	
 0  0      0  63120    209    271    0    0     0     0 2035 2183  0  0 100  0  0	
 0  0      0  63120    209    271    0    0     0     0 2010 2153  0  0 100  0  0	
 0  0      0  63120    209    271    0    0     0     0 2022 2188  0  0 100  0  0	
 0  0      0  63129    209    271    0    0     0     0 2052 2167  0  0 100  0  0	
 0  0      0  63129    209    271    0    0     0     0 2019 2190  0  0 100  0  0	
 0  0      0  63129    209    271    0    0     0     0 2000 2131  0  0 100  0  0	
 0  0      0  63130    209    271    0    0     0     0 2006 2164  0  0 100  0  0	
 0  0      0  63130    209    271    0    0     0     0 2014 2158  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  63130    209    271    0    0     0     0 2053 2212  0  0 100  0  0	
 0  0      0  63131    209    271    0    0     0     0 2004 2145  0  0 100  0  0	
 2  0      0  63131    209    271    0    0     0     0 2051 2252  0  0 100  0  0	
 0  0      0  63133    209    271    0    0     0     0 2026 2196  0  0 100  0  0	
 1  0      0  63134    209    271    0    0     0     0 2057 2243  0  0 100  0  0	
 0  0      0  63134    209    271    0    0     0     0 2069 2237  0  0 100  0  0	
 0  0      0  63134    209    271    0    0     0     0 2045 2220  0  0 100  0  0	
 0  0      0  63134    209    271    0    0     0     0 2005 2160  0  0 100  0  0	
 0  0      0  63134    209    271    0    0     0     0 2015 2170  0  0 100  0  0	
