procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     11  62677    247    657    0    0     0     2    0    0 33  3 64  0  0	
33  0     11  62646    247    657    0    0     0     0 32248 9306 95  0  5  0  0	
33  0     11  62646    247    657    0    0     0     0 32003 8184 97  0  3  0  0	
 5  0     11  62646    247    657    0    0     0     0 24587 7392 72  0 28  0  0	
 0  0     11  62680    247    657    0    0     0     0 2669 2483  1  0 99  0  0	
 0  0     11  62686    247    657    0    0     0     0 2045 2192  0  0 100  0  0	
 1  0     11  62686    247    657    0    0     0   100 2040 2221  0  0 99  1  0	
 0  0     11  62687    247    657    0    0     0     0 2019 2163  0  0 100  0  0	
 0  0     11  62687    247    657    0    0     0     0 2016 2172  0  0 100  0  0	
 0  0     11  62687    247    657    0    0     0     0 2038 2196  0  0 100  0  0	
 1  0     11  62687    247    657    0    0     0     0 2040 2248  0  0 100  0  0	
 0  0     11  62688    247    657    0    0     0     0 2028 2187  0  0 100  0  0	
 0  0     11  62688    247    657    0    0     0     0 2006 2169  0  0 100  0  0	
 0  0     11  62688    247    657    0    0     0     0 2051 2232  0  0 100  0  0	
 1  0     11  62688    247    657    0    0     0     0 2028 2199  0  0 100  0  0	
 0  0     11  62689    247    657    0    0     0     0 2020 2191  0  0 100  0  0	
 0  0     11  62689    247    657    0    0     0     0 2028 2224  0  0 100  0  0	
 2  0     11  62689    247    657    0    0     0     0 2019 2188  0  0 100  0  0	
 1  0     11  62689    247    657    0    0     0     0 2008 2180  0  0 100  0  0	
 0  0     11  62690    247    657    0    0     0     0 2027 2194  0  0 100  0  0	
 0  0     11  62690    247    657    0    0     0     4 2030 2200  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     11  62690    247    657    0    0     0     0 2018 2184  0  0 100  0  0	
 1  0     11  62690    247    657    0    0     0     0 2030 2218  0  0 100  0  0	
 0  0     11  62690    247    657    0    0     0     0 2021 2178  0  0 100  0  0	
 0  0     11  62690    247    657    0    0     0     0 2004 2167  0  0 100  0  0	
 2  0     11  62691    247    657    0    0     0    40 2007 2166  0  0 100  0  0	
 0  0     11  62691    247    657    0    0     0    24 2017 2212  0  0 100  0  0	
 0  0     11  62691    247    657    0    0     0     0 2014 2171  0  0 100  0  0	
 0  0     11  62691    247    657    0    0     0     0 2022 2194  0  0 100  0  0	
 2  0     11  62691    247    657    0    0     0     0 2021 2190  0  0 100  0  0	
